username,role,school,school_instrument_level,first_name,last_name,password
admin1,admin,-,-,Adrian,Chiang,12345
instructor1,instructor,fmss,"fmss_piano_p1,fmss_piano_p2,fmss_string_p1",Matthew,Tan,12345
instructor2,instructor,"hpps,smu","hpps_piano_p1,smu_piano_p1",Brendon,Lim,12345
student1,student,fmss,"fmss_piano_p1,fmss_string_p1",Sheng Qin,Sim,12345
student2,student,fmss,fmss_string_p1,Vittorio,Carecci,12345
student3,student,hpps,hpps_piano_p1,Charmaine,Tan,12345
student4-byVic,student,hpps,hpps_piano_p1,Test,Test,12345
student5-byVic,student,hpps,hpps_piano_p1,Test,Test,12345
student6-byVic,student,hpps,hpps_piano_p1,Test,Test,12345
student7-byVic,student,hpps,hpps_piano_p1,Test,Test,12345
